mention_id_1,mention_id_2,mention_id_3,mention_id_4,mention_id_5,s1,s2,s3,s4,s5,m1,m2,m3,m4,m5
26579,6510,21592,4198,1564,去年年底，他又婉拒了<mark>《星球大战7》</mark>的拍摄工作，全力投入《未来乐园》的筹拍中,据了解，2000年，中国银行、<mark>工商银行</mark>、招商银行等推出了手机银行，就此揭开了国内手机银行发展的序幕,<mark>他</mark>把自己在任期间厂里为国家创造的财富，过多地看成是自己的功劳，觉得不能白干一场,给力<mark>木古屋</mark>新款书包中学生双肩包背包女式韩版潮帆布电脑包旅行包W325http://t.cn/8sScPRP,我说<mark>咱俩</mark>在一起，是我教你呢，还是你教我,《星球大战7》,工商银行,他,木古屋,咱俩
28124,344,16232,24484,13798,"（新华社记者<mark>王新庆</mark>摄） 
","①哈雷彗星②<mark>海尔—波普彗星</mark>③百武彗星 
",总裁办公室于是向<mark>东京</mark>方面追查,幼儿花大量时间自己玩手机、<mark>ipad</mark>等会导致他们的性格孤僻，思维缓慢，视力减退,本次非公开发行股票的申请于2012年6月18日经<mark>中国证监会发行审核委员会</mark>审核通过,王新庆,海尔—波普彗星,东京,ipad,中国证监会发行审核委员会
11330,39310,31464,33950,1167,近日，<mark>河北省安平县</mark>举行了“关爱女孩金秋助学金”发放仪式，来自全县计生家庭的97名女学生，每人领到了1000元至2000元不等的助学金，共计12万元的助学金，圆了这些贫困孩子的求学梦,销售员杜宝平到了预产期，可有几笔生意还没最后敲定，<mark>她</mark>就是不肯去产院,出征仪式上，面对温州志愿者队旗，他们统一身着八残会志愿者服装，热情激扬，庄重宣誓：“尽己所能、不计报酬、帮助他人、服务赛会，践行志愿精神，传播先进文化，展现<mark>温州</mark>志愿者风采，全力以赴、不辱使命，同心同行，共享共赢，为构建和谐社会贡献力量,这样，工人一来可通过不断提高能力不断晋升，满足<mark>自我</mark>成就感;二来工厂生产新产品时，工人不会因为技术欠缺而“下岗”,我更新# Flymebo1.1.1#，1.完美适配魅族M9、<mark>MX</mark>和MX2，MX2Smartbar可以选择显示或隐藏,河北省安平县,她,温州,自我,MX
3371,30748,28260,21872,17684,灵车队共由九十九辆车组成，由<mark>宪兵队</mark>开道车引领，包括“国旗”车、党旗车、统帅旗车、奉行蒋介石遗嘱令车、捧勋车、遗像车等,<mark>你们</mark>要认识到自己责任的重大，为振兴中华，作出不懈的努力,其中， 银联在线普通账号最高5000元，支付宝最高2万元，<mark>拉卡拉手机刷卡器</mark>最高5万元,其次，<mark>它</mark>并不符合于当代资本主义社会的发展变化,”<mark>LG</mark>手机在工业设计及产品本身以及渠道方面都与三星存在着一定的差距，从软件到硬件，产品的细节化始终没有三星完善，超越之路任重道远,宪兵队,你们,拉卡拉手机刷卡器,它,LG
7819,23409,10989,19640,36651,但最大的遗产恐怕要属<mark>伦敦东区</mark>的巨变，奥运让这个曾经贫穷落后的地区实现了华丽转身……,"后来又提出：“军援问题要研究，不做军火商看来不行，军工产品要出口”，“要给各部更多的自主权，包括进出口公司，提倡权力下放，不仅<mark>三机部</mark>如此，各部都应该如此”，并为航空工业的一些飞机出口项目亲自作了批示。 
",由中央电视台摄制的这部专题片，介绍了中唱总公司新近出版的张俊以与孟庆云合作的两张<mark>CD</mark>专辑中收进的三十二首新歌;以及张俊以由广西民族出版社出版的新书《吹泡泡》、《眼睛渴望眼睛的重逢》,"果然，路经之<mark>日本</mark>人一个个驻足提腕。 
",类似格雷格·科恩(<mark>Greg Cohen</mark>)的员工反映了雅虎正面临的问题,伦敦东区,三机部,CD,日本,Greg Cohen
19062,12574,30337,24693,3831,在中国消费者的心目中，真正能体现出豪华品牌定位的，恐怕就要轮到C级车了，诸如3系、<mark>C级</mark>这样的似乎还不够给力，今天我们就为大家带来四款豪华品牌的C级入门车款，看看它们有哪些可取之处,虽然<mark>徐建三</mark>是嘉义空军基地的主官，但仍须按规定惩处，进行飞行列管辅导，在此时间内，只能操作一些指定科目，等到列管结束，才能恢复飞行资格,14日晚21时10分许，河北永年县城居民<mark>刘娜娜</mark>骑行电动车带着9岁儿子刘益晨沿新路自南向北行驶，当走到接近政府街路口时，一辆黑色帕萨特轿车从身后猛然撞击过来，当场将刘娜娜母子撞飞出去，“现场发生的时间很快，一瞬间的事，就看到那个女的和孩子飞出去了,<mark>@Ryan不软</mark>：熊孩子归根到底是教养问题，家长应该通过言传身教来引导孩子，从一点一滴做起，怎么可以投机取巧,当然，学生也可以考虑在汉密尔顿的确直接参加雅思考试，只要<mark>雅思</mark>分数达到了，也一样可以进入主课学习,C级,徐建三,刘娜娜,@Ryan不软,雅思
22737,33749,9,40091,4710,在轿车市场份额开始逐渐被SUV抢占的同时，国内各大车企也都早已看出了苗头，纷纷迈出了开拓SUV车型市场的步伐， 比亚迪 今年5月推出了<mark>S6</mark>、 荣威(微博) W5也于8月正式上市， 华晨金杯 S30也尾随而至，而近期又已爆出北汽B40、吉利全球鹰GX7即将面世，由此中低端SUV市场的角逐也将变得分外激烈，不过俗语说的好：姜还是老的辣，在现如今的中低端SUV市场上，我们常见仍是那些经历多次改款的经典“常青树”车型,眼见情况不妙，李广立即指挥<mark>御景警务站</mark>副主任张涛和建安路派出所民警周建伟中途拦截,过去一个时期，<mark>我们</mark>曾把这个方针同对外开放对立起来，影响了我们对国际资源和国际市场的利用，不利于国家的发展,<mark>和讯</mark>网站对文中陈述、观点判断保持中立，不对所包含内容的准确性、可靠性或完整性提供任何明示或暗示的保证,(记者 <mark>赵汗青</mark> 雷强),S6,御景警务站,我们,和讯,赵汗青
23168,36948,17984,4899,350,新浪体育讯北京时间1月8日消息，前天津泰达前锋索杰加盟英甲<mark>斯坎索普队</mark>,看着穷困潦倒的女婿<mark>项黄河</mark>一筹莫展的样子，乔传琴给了项黄河 元本钱,?我正在收听这首单曲:陈天红-失眠情歌( Dj版)?http://t.cn/8s9fNBw(来自<mark>@QQ音乐</mark>),//@Irisv小轩:@白纯-小姐@阿彤彤木@林丢丢lx博主博主我在<mark>徐州</mark>，赶快抽到我，我要跟小伙伴一起,一系列关于<mark>苹果公司</mark>的利空在近期层出不穷,斯坎索普队,项黄河,@QQ音乐,徐州,苹果公司
2346,41488,24490,30262,26599,我小时候从来没有走过楼梯，记得小学四年级的时候有次去<mark>县城</mark>，路过人民旅社的时候，心想我从来没有上过楼梯，一定要在楼梯上走一走,解解声音好甜害羞不过说实话，视频上面解解和周觅牵手的时候，包括唱歌的时候，笑的不是很多啊，而且看<mark>解解</mark>的手应该能看出这手牵的好尴尬挖鼻屎挖鼻屎挖鼻屎,"谢子长同志是<mark>西北红军</mark>和西北革命根据地创始人之一。 
",5个多小时的演练结束后，编队指挥舰广州舰舰长<mark>李朝晖</mark>认为，编队第一时间发现目标，综合攻防反应迅速、处置得当,） 	 　　《FIFA12》游戏Demo试玩将于9月14日正式公布，届时该demo将会登陆PSN及XBL给玩家进行下载，PC版暂无试玩，但2个星期后(9月29日)正式版《FIFA12》将面向3DS， PC， PS2， PS3， <mark>PSP</mark>， Xbox 360及Wii全球发售,县城,解解,西北红军,李朝晖,PSP
37448,28964,38216,19896,25646,"<mark>中共中央政治局</mark>委员、上海市委书记黄菊，全国人大常委会副委员长、全国妇联主席陈慕华出席会议并讲话。 
",其中，大地保险、大众保险在两次测评均保持在前五名，而安邦保险、民安保险、<mark>中银保险</mark>、永安保险、安诚保险5家机构在两次测评中均超过半个小时到达现场,<mark>美的冰箱</mark>从产品、技术到品牌全面受到业内权威的肯定，将带领我国冰箱产业向着更节能、更保鲜、更人性化等方向发展,"我们相信，面临新的形势任务，这次大会即将选出的新一届<mark>致公党中央</mark>领导集体，一定能够在实现新老交替的基础上完成政治交接，把老一辈领导人同中国共产党亲密合作的优良传统继承下来并发扬光大，切实加强自身建设，不断提高致公党的整体素质，充分发挥参政党作用，团结和带领广大成员和所联系的归侨、侨眷，埋头苦干，扎实工作，在建设有中国特色社会主义伟大事业中创造出新的业绩。 
",冯玉祥的一些老部下陆续投蒋，在重庆如冯的高干之一熊斌还在军委会当过<mark>办公厅</mark>主任兼任新闻检查局局长,中共中央政治局,中银保险,美的冰箱,致公党中央,办公厅
